year,cauv_projected_low,soil_series,texture,slope,erosion,drainage,indx,id,val_2018,unadjusted
2019,710,ALLEGHENY-MONONGAHELA,SIL,2-5,M,W,indx_69,ALLEGHENY-MONONGAHELASIL2-5MW,1070,350
2019,975,ALLEGHENY-MONONGAHELA,SIL,2-5,S,W,indx_69,ALLEGHENY-MONONGAHELASIL2-5SW,1380,570
2019,530,ALLEGHENY,SIL,10-15,M,W,indx_69,ALLEGHENYSIL10-15MW,710,350
2019,615,ALLEGHENY,SIL,10-15,S,W,indx_69,ALLEGHENYSIL10-15SW,880,350
2019,530,ALLEGHENY,SIL,12-18,S,W,indx_69,ALLEGHENYSIL12-18SW,710,350
2019,965,ALLEGHENY,SIL,2-6,S,W,indx_79,ALLEGHENYSIL2-6SW,1390,540
2019,630,ALLEGHENY,SIL,5-10,M,W,indx_69,ALLEGHENYSIL5-10MW,910,350
2019,710,ALLEGHENY,SIL,5-10,S,W,indx_69,ALLEGHENYSIL5-10SW,1070,350
2019,710,ALLEGHENY,SIL,6-12,S,W,indx_69,ALLEGHENYSIL6-12SW,1070,350
2019,710,"ALLEGHENY,SS-SUBST",SIL,5-10,S,W,indx_69,"ALLEGHENY,SS-SUBSTSIL5-10SW",1070,350
2019,350,"ALLEGHENY,V",L,15-25,S,W,indx_59,"ALLEGHENY,VL15-25SW",350,350
2019,900,"ALLEGHENY,V",L,8-15,S,W,indx_69,"ALLEGHENY,VL8-15SW",1310,490
2019,350,ALLIS,CL,0-2,S,P,indx_59,ALLISCL0-2SP,350,350
2019,350,ALLIS,L,0-2,S,P,indx_59,ALLISL0-2SP,350,350
2019,350,ALLIS,SICL,0-2,S,P,indx_59,ALLISSICL0-2SP,350,350
2019,350,ALLIS,SICL,2-6,S,P,indx_59,ALLISSICL2-6SP,350,350
2019,350,ALLIS,SIL,0-2,S,P,indx_59,ALLISSIL0-2SP,350,350
2019,350,ALLIS,ST-SIL,0-2,S,P,indx_49,ALLISST-SIL0-2SP,350,350
2019,2515,ALVADA,L,0-1,S,VP,indx_99,ALVADAL0-1SVP,3090,1940
2019,2385,ALVADA,SICL,0-1,S,VP,indx_99,ALVADASICL0-1SVP,2950,1820
2019,360,AMANDA,L,12-18,M,W,indx_69,AMANDAL12-18MW,370,350
2019,350,AMANDA,L,18-25,S,W,indx_59,AMANDAL18-25SW,350,350
2019,350,"AMANDA-LOUDONVILLE,C",,12-20,M,W,indx_59,"AMANDA-LOUDONVILLE,C12-20MW",350,350
2019,655,"AMANDA-LOUDONVILLE,C",,2-6,M,W,indx_69,"AMANDA-LOUDONVILLE,C2-6MW",960,350
2019,515,"AMANDA-LOUDONVILLE,C",,6-12,M,W,indx_69,"AMANDA-LOUDONVILLE,C6-12MW",680,350
2019,490,"AMANDA-OCKLEY,C",,12-20,M,W,indx_69,"AMANDA-OCKLEY,C12-20MW",630,350
2019,825,"AMANDA-OCKLEY,C",,6-12,M,W,indx_69,"AMANDA-OCKLEY,C6-12MW",1230,420
2019,350,AMANDA,SICL,12-20,SE,W,indx_59,AMANDASICL12-20SEW,350,350
2019,390,AMANDA,SICL,6-12,SE,W,indx_69,AMANDASICL6-12SEW,430,350
2019,360,AMANDA,SIL,12-18,M,W,indx_69,AMANDASIL12-18MW,370,350
2019,360,AMANDA,SIL,12-20,M,W,indx_69,AMANDASIL12-20MW,370,350
2019,350,AMANDA,SIL,18-25,M,W,indx_59,AMANDASIL18-25MW,350,350
2019,350,AMANDA,SIL,18-25,S,W,indx_59,AMANDASIL18-25SW,350,350
2019,695,AMANDA,SIL,2-6,M,W,indx_79,AMANDASIL2-6MW,1040,350
2019,900,AMANDA,SIL,2-6,S,W,indx_79,AMANDASIL2-6SW,1320,480
2019,560,AMANDA,SIL,6-12,M,W,indx_69,AMANDASIL6-12MW,770,350
2019,350,"AMANDA,V",SIL,12-18,M,W,indx_59,"AMANDA,VSIL12-18MW",350,350
2019,1175,"AMANDA,V",SIL,6-12,M,W,indx_69,"AMANDA,VSIL6-12MW",1570,780
2019,350,"AMANDA-WOOSTER,C",,12-18,M,W,indx_59,"AMANDA-WOOSTER,C12-18MW",350,350
2019,680,"AMANDA-WOOSTER,C",,2-6,S,W,indx_79,"AMANDA-WOOSTER,C2-6SW",1010,350
2019,360,"AMANDA-WOOSTER,C",,6-12,M,W,indx_69,"AMANDA-WOOSTER,C6-12MW",370,350
2019,350,"AQUENTS,CLAYEY",,0-1,S,VP,indx_49,"AQUENTS,CLAYEY0-1SVP",350,350
2019,350,"AQUENTS,NEARLY LEVEL",,0-2,S,VP,indx_49,"AQUENTS,NEARLY LEVEL0-2SVP",350,350
2019,660,ARKPORT,FS,2-6,S,W,indx_69,ARKPORTFS2-6SW,970,350
2019,570,ARKPORT,FS,6-12,S,W,indx_69,ARKPORTFS6-12SW,790,350
2019,870,ARKPORT,FSL,0-6,S,W,indx_69,ARKPORTFSL0-6SW,1250,490
2019,350,ARKPORT,FSL,12-18,S,W,indx_59,ARKPORTFSL12-18SW,350,350
2019,650,ARKPORT,FSL,6-12,S,W,indx_69,ARKPORTFSL6-12SW,950,350
2019,870,ARKPORT,LFS,0-2,S,W,indx_69,ARKPORTLFS0-2SW,1250,490
2019,350,ARKPORT,LFS,12-18,S,W,indx_59,ARKPORTLFS12-18SW,350,350
2019,660,ARKPORT,LFS,2-6,S,W,indx_69,ARKPORTLFS2-6SW,970,350
2019,570,ARKPORT,LFS,6-12,S,W,indx_69,ARKPORTLFS6-12SW,790,350
2019,465,"ARKPORT,V.",LFS,0-2,S,W,indx_69,"ARKPORT,V.LFS0-2SW",580,350
2019,360,"ARKPORT,V.",LFS,2-6,S,W,indx_69,"ARKPORT,V.LFS2-6SW",370,350
2019,1290,"ASHTON,OF-PH",SIL,0-2,S,W,indx_89,"ASHTON,OF-PHSIL0-2SW",1780,800
2019,1290,ASHTON,SIL,0-2,S,W,indx_89,ASHTONSIL0-2SW,1780,800
2019,1290,ASHTON,SIL,0-3,S,W,indx_89,ASHTONSIL0-3SW,1780,800
2019,1120,ASHTON,SIL,2-6,S,W,indx_79,ASHTONSIL2-6SW,1580,660
2019,880,ATHERTON,SIL,0-2,S,VP,indx_69,ATHERTONSIL0-2SVP,1220,540
2019,390,ATLAS,SICL,6-12,M,SWP,indx_59,ATLASSICL6-12MSWP,430,350
2019,585,ATLAS,SIL,2-6,M,SWP,indx_69,ATLASSIL2-6MSWP,820,350
2019,665,ATLAS,SIL,2-6,S,SWP,indx_69,ATLASSIL2-6SSWP,980,350
2019,445,ATLAS,SIL,6-12,M,SWP,indx_69,ATLASSIL6-12MSWP,540,350
2019,350,ATLAS,SIL,6-12,SE,SWP,indx_49,ATLASSIL6-12SESWP,350,350
2019,2385,AURAND,FSL,0-2,S,SWP,indx_99,AURANDFSL0-2SSWP,2950,1820
2019,2515,AURAND,L,0-2,S,SWP,indx_99,AURANDL0-2SSWP,3090,1940
2019,2515,AURAND,L,0-3,S,SWP,indx_99,AURANDL0-3SSWP,3090,1940
2019,2515,AURAND,SIL,0-3,S,SWP,indx_99,AURANDSIL0-3SSWP,3090,1940
2019,1455,AVA,SIL,0-3,S,MW,indx_79,AVASIL0-3SMW,1910,1000
2019,935,AVA,SIL,3-8,M,MW,indx_69,AVASIL3-8MMW,1330,540
2019,665,AVA,SIL,8-15,M,MW,indx_69,AVASIL8-15MMW,980,350
2019,1335,AVERY,SIL,2-6,S,MW,indx_79,AVERYSIL2-6SMW,1760,910
2019,725,"AVONBURG-ATLAS,C.",,2-6,M,SWP,indx_69,"AVONBURG-ATLAS,C.2-6MSWP",1100,350
2019,1135,AVONBURG,SIL,0-2,S,SWP,indx_79,AVONBURGSIL0-2SSWP,1570,700
2019,725,AVONBURG,SIL,2-6,M,SWP,indx_69,AVONBURGSIL2-6MSWP,1100,350
2019,930,AVONBURG,SIL,2-6,S,SWP,indx_69,AVONBURGSIL2-6SSWP,1350,510
2019,350,BARKCAMP,CL,0-8,S,W,indx_59,BARKCAMPCL0-8SW,350,350
2019,350,BARKCAMP,CL,8-25,S,W,indx_49,BARKCAMPCL8-25SW,350,350
2019,350,BARKCAMP,GR-LS,8-25,S,W,indx_49,BARKCAMPGR-LS8-25SW,350,350
2019,350,BARKCAMP,GR-SL,0-8,S,W,indx_49,BARKCAMPGR-SL0-8SW,350,350
2019,350,BARKCAMP,L,8-25,S,W,indx_49,BARKCAMPL8-25SW,350,350
2019,350,"BARKCAMP,VERY STONY",CN-SL,0-8,S,W,indx_49,"BARKCAMP,VERY STONYCN-SL0-8SW",350,350
2019,350,"BARKCAMP,VERY STONY",FLV-SL,0-8,S,W,indx_49,"BARKCAMP,VERY STONYFLV-SL0-8SW",350,350
2019,350,"BARKCAMP,VERY STONY",FLV-SL,8-25,S,W,indx_49,"BARKCAMP,VERY STONYFLV-SL8-25SW",350,350
2019,355,BEASLEY,SIL,12-18,M,W,indx_69,BEASLEYSIL12-18MW,360,350
2019,450,BEASLEY,SIL,6-12,M,W,indx_69,BEASLEYSIL6-12MW,550,350
2019,2005,"BEAUCOUP,OF-PH",SICL,0-2,S,VP,indx_79,"BEAUCOUP,OF-PHSICL0-2SVP",2500,1510
2019,515,BELMORE,L,0-2,S,W,indx_69,BELMOREL0-2SW,680,350
2019,350,BELMORE,L,12-18,M,W,indx_59,BELMOREL12-18MW,350,350
2019,350,BELMORE,L,12-18,S,W,indx_59,BELMOREL12-18SW,350,350
2019,445,BELMORE,L,1-4,S,W,indx_69,BELMOREL1-4SW,540,350
2019,430,BELMORE,L,2-6,S,W,indx_69,BELMOREL2-6SW,510,350
2019,350,BELMORE,L,6-12,M,W,indx_59,BELMOREL6-12MW,350,350
2019,370,BELMORE,L,6-12,S,W,indx_69,BELMOREL6-12SW,390,350
2019,435,BELMORE,SL,0-2,S,W,indx_69,BELMORESL0-2SW,520,350
2019,445,BELMORE,SL,1-4,S,W,indx_69,BELMORESL1-4SW,540,350
2019,385,BELMORE,SL,1-6,S,W,indx_69,BELMORESL1-6SW,420,350
2019,380,BELMORE,SL,2-6,S,W,indx_69,BELMORESL2-6SW,410,350
2019,355,BELMORE,SL,6-12,S,W,indx_69,BELMORESL6-12SW,360,350
2019,430,"BELMORE,T-SUBST",L,2-6,S,W,indx_69,"BELMORE,T-SUBSTL2-6SW",510,350
2019,350,BELPRE,C,12-18,S,W,indx_59,BELPREC12-18SW,350,350
2019,350,BELPRE,C,18-25,S,W,indx_49,BELPREC18-25SW,350,350
2019,400,BELPRE,C,6-12,S,W,indx_69,BELPREC6-12SW,450,350
2019,745,BENNINGTON-FITCHVILLE,SIL,2-6,S,SWP,indx_69,BENNINGTON-FITCHVILLESIL2-6SSWP,1130,360
2019,1045,BENNINGTON,L,0-2,S,SWP,indx_69,BENNINGTONL0-2SSWP,1460,630
2019,425,"BENNINGTON-PYRMONT,LM-SUBST",SIL,0-2,S,SWP,indx_69,"BENNINGTON-PYRMONT,LM-SUBSTSIL0-2SSWP",500,350
2019,810,"BENNINGTON,SH-SUBST",SIL,0-2,S,SWP,indx_69,"BENNINGTON,SH-SUBSTSIL0-2SSWP",1200,420
2019,510,"BENNINGTON,SH-SUBST",SIL,2-6,S,SWP,indx_69,"BENNINGTON,SH-SUBSTSIL2-6SSWP",670,350
2019,1045,BENNINGTON,SIL,0-2,S,SWP,indx_69,BENNINGTONSIL0-2SSWP,1460,630
2019,1045,BENNINGTON,SIL,0-3,S,SWP,indx_69,BENNINGTONSIL0-3SSWP,1460,630
2019,865,BENNINGTON,SIL,2-4,S,SWP,indx_69,BENNINGTONSIL2-4SSWP,1270,460
2019,615,BENNINGTON,SIL,2-6,M,SWP,indx_69,BENNINGTONSIL2-6MSWP,880,350
2019,775,BENNINGTON,SIL,2-6,S,SWP,indx_69,BENNINGTONSIL2-6SSWP,1170,380
2019,870,BENNINGTON-TIRO,SIL,0-2,S,SWP,indx_69,BENNINGTON-TIROSIL0-2SSWP,1250,490
2019,350,"BERKS-AARON,C",,6-15,S,W,indx_59,"BERKS-AARON,C6-15SW",350,350
2019,350,BERKS,CH-SIL,2-8,S,W,indx_59,BERKSCH-SIL2-8SW,350,350
2019,350,BERKS,CN-SIL,0-6,S,W,indx_59,BERKSCN-SIL0-6SW,350,350
2019,350,BERKS,CN-SIL,12-18,S,W,indx_49,BERKSCN-SIL12-18SW,350,350
2019,350,BERKS,CN-SIL,12-20,S,W,indx_49,BERKSCN-SIL12-20SW,350,350
2019,350,BERKS,CN-SIL,15-25,M,W,indx_49,BERKSCN-SIL15-25MW,350,350
2019,350,BERKS,CN-SIL,15-25,S,W,indx_49,BERKSCN-SIL15-25SW,350,350
2019,350,BERKS,CN-SIL,2-6,S,W,indx_59,BERKSCN-SIL2-6SW,350,350
2019,350,BERKS,CN-SIL,2-8,S,W,indx_59,BERKSCN-SIL2-8SW,350,350
2019,350,BERKS,CN-SIL,6-12,S,W,indx_59,BERKSCN-SIL6-12SW,350,350
2019,350,BERKS,CN-SIL,6-15,S,W,indx_59,BERKSCN-SIL6-15SW,350,350
